Country Name,Indicator Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,Renewable electricity output (% of total electricity output),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.32737715,12.10102096,14.91525424,14.91218619,15.09927995,14.85616144
Africa Eastern and Southern,Renewable electricity output (% of total electricity output),14.36525822,15.352872,14.10556432,13.4830698,13.23234589,13.29388121,12.73839324,12.51660289,14.87559235,15.43567173,15.98373752,17.5841681,18.03563739,16.93033505,16.94477679,17.69127316,18.47292394,18.17346896,18.28864249,19.75533847,21.16299933,21.32377935,21.79582504,22.73260394,24.96658943,25.67587875
Afghanistan,Renewable electricity output (% of total electricity output),67.73049645,67.98029557,67.9943101,68.34532374,68.70451237,69.03703704,70.37037037,72.3880597,74.43609023,73.72262774,74.98909408,72.81145999,79.0639712,70.24972856,70.89084065,74.06181015,70.75575027,72,68.65482234,87.17660292,85.98654709,82.48756219,85.90998043,78.6364081,85.32354903,86.05011125
Africa Western and Central,Renewable electricity output (% of total electricity output),55.66314934,60.31873505,59.1522995,57.4339912,54.75954778,55.33754542,54.61918239,54.37480116,48.37227326,50.18337362,52.85887292,51.32355861,46.2630897,45.45188425,45.64842789,44.09333505,40.8432102,36.93628922,41.72717142,41.55021212,38.54708441,37.70364999,36.0379351,35.16386365,34.56614593,31.23353141
Angola,Renewable electricity output (% of total electricity output),86.20689655,82.65524625,88.70116156,93.68421053,93.71727749,93.75,89.98054475,76.35253054,80.42488619,66.96629213,63.11418685,62.08791209,64.7592068,62.20551378,78.40501792,79.64824121,80.61101028,77.6188996,75.40904716,65.34318902,67.95742338,70.90780393,60.7994842,58.02093476,53.17510549,53.17492831
Albania,Renewable electricity output (% of total electricity output),86.40776699,92.14248298,95.05008839,93.90762256,95.68637402,93.98613906,95.72049482,96.17444529,96.32021922,97.32915822,96.14901632,95.30831099,93.95398609,97.85657051,97.5026757,98.71394452,98.31643736,97.48251748,100,99.98077662,99.98678647,98.59222143,100,100,100,100
Andorra,Renewable electricity output (% of total electricity output),100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.93617021,98.82352941,94.59459459,75,80.05082592,76.54320988,88.73114463,86.51315789,86.6894198,88.7532694,89.43217666,86.1167002
Arab World,Renewable electricity output (% of total electricity output),7.241521246,6.690711244,5.769018133,5.387481871,5.320985082,5.081062818,5.300068346,5.171465028,4.809929674,4.846387134,4.46423747,4.617561634,3.755548631,3.943509658,3.913530097,4.474439922,4.119493989,4.150216715,3.36273905,3.328485767,3.854009912,3.549765635,3.481218522,3.770384961,3.27807342,2.920701686
United Arab Emirates,Renewable electricity output (% of total electricity output),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094142456,0.258307016,0.232401112
Argentina,Renewable electricity output (% of total electricity output),35.4414663,30.4365664,34.87052844,38.93400026,42.60157812,40.21338506,33.39982206,39.38698166,36.39004486,27.29441883,33.15937465,41.82988404,43.56387577,37.95175486,31.63480258,33.52513485,37.1276984,29.84220081,26.3437058,28.92740262,28.5854562,32.30597044,29.26113532,31.48449072,31.5762042,28.14006912
Armenia,Renewable electricity output (% of total electricity output),15.00675545,16.24632198,33.8071968,68.19698173,62.1067515,34.50818198,25.29771484,23.05523304,24.82636085,20.99002974,21.16482041,16.84943429,30.04167422,36.02981276,33.13432836,28.06712047,30.71873422,31.46829434,31.17850953,35.67272086,39.48544138,33.5397039,28.94474863,28.23605707,25.75483871,28.33696628
American Samoa,Renewable electricity output (% of total electricity output),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.702426564,0.703140481,0.700882475,0.885478158
Antigua and Barbuda,Renewable electricity output (% of total electricity output),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.494768311,1.497005988,0,0,0,0
Australia,Renewable electricity output (% of total electricity output),9.656030644,10.59820105,10.06686525,10.54914357,10.19447386,9.62414282,9.229727824,9.587675727,8.434050016,8.544053588,8.381618572,8.098454953,7.860918822,8.440698866,8.186650191,8.803706639,9.299307773,8.648072467,8.115257556,7.497934259,8.611879628,10.42665228,10.59265336,13.26410839,14.90671221,13.63784109
Austria,Renewable electricity output (% of total electricity output),66.20212593,65.06247384,72.39632351,74.06708065,70.8027096,70.50636123,66.80479337,67.91595582,69.81040959,70.67895053,72.54400909,69.15682775,69.01294765,60.78282872,64.20223413,63.62677749,65.51552516,68.68702896,69.23088844,71.13969479,66.21132275,65.63142343,74.52918061,78.02478699,81.05686835,76.49077927
Azerbaijan,Renewable electricity output (% of total electricity output),7.161368348,7.496801706,8.83975105,12.73423967,10.40919697,9.129312368,9.000994908,10.16868615,10.84009334,8.285651408,8.203647254,6.858197153,10.80156141,11.59917317,12.67016188,13.15582371,10.25954447,10.82070765,10.31280322,12.24295103,18.42330305,13.1861634,7.921524274,6.67123405,5.629246199,7.039857421
Burundi,Renewable electricity output (% of total electricity output),98.18181818,98.52941176,98.13084112,98.1981982,98.29059829,98.33333333,98.33333333,98.36065574,98.21428571,98,98.01980198,98.29059829,98.45320959,98.06763285,97.86324786,98.04496579,97.90136411,98.32578542,98.24236086,96.39363748,87.65339961,90.85730884,97.9618194,87.02056925,80.71878883,82.70938513
Belgium,Renewable electricity output (% of total electricity output),0.789563535,0.752957042,0.864024646,0.723582805,0.841031104,0.908645737,0.746626208,0.755191945,0.924763935,1.019600317,1.261280852,1.36737134,1.405997109,1.426502794,1.774684955,2.457151524,3.499786598,3.982725528,5.285763852,6.056388215,6.920806113,9.410879188,12.81287904,14.20938611,17.0806411,20.80002301
Benin,Renewable electricity output (% of total electricity output),0,0,0,0,0,0,0,3.389830508,2.53164557,2.777777778,2.380952381,3.03030303,3.174603175,2.5,1.234567901,0.934579439,2.597402597,1.363636364,1.310043668,0.78125,0.869565217,0,0,0,0,5.555555556
Burkina Faso,Renewable electricity output (% of total electricity output),4.891304348,6.701030928,9.950248756,21.86046512,33.7962963,38.69905311,26.98354662,20.08491182,23.15882875,34.64851348,25.17930328,14.71956224,17.49383055,21.56995052,21.4451722,19.46542708,14.62212486,18.1372549,21.94058767,18.90540154,20.78542367,15.45574637,15.456,14.43820994,10.39712793,9.354038684
Bangladesh,Renewable electricity output (% of total electricity output),11.43300569,10.13301088,8.949853834,6.604388442,8.656991006,3.442531927,6.440648423,6.063417102,6.714795839,5.764705882,4.749223258,5.709521619,4.012858291,3.799715909,3.034477171,2.832079253,2.536317768,2.415739397,2.776316559,1.121661242,1.787202746,1.974950739,1.600016474,1.946536145,1.319724237,1.226889902
