Country Name,Indicator Name,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,Agricultural land (% of land area),11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,,
Africa Eastern and Southern,Agricultural land (% of land area),42.34548946,42.32847006,42.36319512,42.34349929,42.3246956,42.34926392,42.36120495,42.39291043,42.44197845,42.51314422,42.62164286,42.65300522,42.66926972,42.68107349,42.71277898,42.70962216,42.73110228,42.81029737,42.78339574,42.77653308,42.86300259,42.87967885,42.90685498,42.91255099,43.19769448,43.45339716,43.61336574,43.8550686,44.05113477,44.00927186,44.09828055,44.27821948,43.30941788,43.50164096,43.68713864,43.81162728,43.96137119,44.10027141,44.29119059,44.44896312,44.54707074,44.63605102,44.92823463,44.63097303,44.76145124,44.9278744,45.08740612,45.19073592,45.45145616,45.62913272,45.83255203,45.73322402,45.84896406,45.97760237,46.05238751,46.15243938,46.27115008,46.36111762,46.41937455,46.46760765,46.48577931,,
Afghanistan,Agricultural land (% of land area),57.87835579,57.95501587,58.03167594,58.11600202,58.12366803,58.1926621,58.22945893,58.23099213,58.25552336,58.27085537,58.31685142,58.33524984,58.33708968,58.3387762,58.3387762,58.33831624,58.33831624,58.33831624,58.33678304,58.33678304,58.34291584,58.34444904,58.34444904,58.34444904,58.34444904,58.34444904,58.33065023,58.32298422,58.32298422,58.32298422,58.30765221,58.30765221,58.16046487,57.97494749,57.89828741,57.88908821,57.94734986,58.05927357,57.89982062,57.94581666,57.94734986,57.93968385,58.08380479,58.15126566,58.13440044,58.12366803,58.12980084,58.13286724,58.13286724,58.13440044,58.13133404,58.12980084,58.12366803,58.12366803,58.12366803,58.12366803,58.12366803,58.27698818,58.27698818,58.74154823,58.74154823,,
Africa Western and Central,Agricultural land (% of land area),32.8901817,32.94191396,32.9797183,33.01829642,33.06848113,33.08561467,33.09224701,33.21295561,33.24025875,33.16089174,33.1854314,33.21792987,33.23351587,33.19629501,33.27824245,33.36623929,33.38337435,33.44506057,33.54223295,33.66527375,33.65742479,33.73624607,33.84292565,33.92738492,34.02732103,34.13952805,34.1478192,34.30590397,34.34946019,34.63401277,34.82727438,35.10840682,35.30808337,35.70343256,36.11390584,36.33868653,36.54271052,36.58277211,36.81248642,36.92137177,37.16609489,37.29088147,37.48091697,37.41030557,38.10099101,38.1307888,38.31190245,38.46016977,38.60099653,38.75604344,38.85329743,39.02165724,39.3371755,39.42819305,39.62502666,39.72695565,39.7902777,40.00334536,40.09738909,40.17202797,40.25936158,,
Angola,Agricultural land (% of land area),36.23726638,36.24368332,36.24127697,36.24769391,36.24528756,36.2517045,36.25731932,36.26373626,36.27737226,36.25972568,36.24127697,36.22363038,36.20518168,36.18753509,36.16988851,35.99101628,35.9733697,35.95492099,35.92925323,35.90679394,35.87711559,35.85866688,35.83700971,35.81455041,35.79690383,35.73032807,35.71268148,35.69503489,35.67658619,35.6589396,35.68059678,35.70305607,35.70225395,35.70225395,35.6862116,35.65172054,35.6541269,35.7046603,35.74797465,35.71268148,35.62605278,35.64450148,35.69343066,35.54183043,35.4399615,35.40306409,35.48969279,35.44958691,35.79850806,35.97497393,36.34876073,36.3383332,36.48672495,36.63591883,36.72816235,36.75623646,36.71452635,36.7305687,36.7987487,36.81078046,36.81479105,,
Albania,Agricultural land (% of land area),44.96350365,44.96350365,45.0,44.89051095,45.1459854,45.25547445,45.40145985,45.25547445,45.0729927,44.89051095,43.79562044,42.84671533,41.82481752,40.94890511,39.41605839,39.23357664,40.47445255,40.65693431,40.76642336,40.80291971,40.72992701,40.65693431,40.51094891,40.62043796,40.58394161,40.54744526,40.54744526,40.76642336,40.51094891,40.91240876,41.13138686,41.13138686,41.09489051,41.09489051,41.13138686,41.27737226,41.42335766,41.56934307,41.78832117,41.75182482,41.56934307,41.60583942,40.91240876,40.94890511,39.30656934,40.87591241,40.83941606,43.10218978,43.84306569,43.84306569,43.83211679,43.84306569,43.33211679,42.85729927,42.85766423,43.12773723,42.8569708,42.84967153,42.84671533,42.53850365,41.47189781,,
Andorra,Agricultural land (% of land area),55.31914894,55.31914894,55.31914894,55.31914894,55.31914894,55.31914894,55.31914894,55.31914894,55.31914894,55.31914894,53.19148936,53.19148936,51.06382979,51.06382979,51.06382979,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.40425532,48.61702128,48.63829787,48.53191489,46.38297872,46.34042553,44.19148936,44.17021277,44.19148936,42.06382979,42.06382979,39.91489362,40.0212766,40.0,40.0212766,40.04255319,40.04255319,40.07234043,40.00021277,39.95170213,39.90680851,,
Arab World,Agricultural land (% of land area),30.9814141,30.98266305,31.00705428,31.01800095,31.04246564,31.05040014,31.10322331,31.13356541,31.19042929,31.254493,31.38658766,31.4999481,31.49680808,31.55080689,31.52964818,31.59973643,31.62199716,31.66607782,31.67849388,31.75886761,31.45431432,31.48030281,31.52874746,31.94226961,32.44217664,33.02653928,33.58299885,34.18697738,34.69778409,35.10945338,35.15997717,35.3210827,36.09618122,36.75065389,37.38082592,37.97764104,38.48846262,39.09635346,39.6221896,39.65694078,39.67975145,39.75299681,39.94156576,39.99125266,40.04847798,40.11976586,40.17216897,40.11155965,40.12213099,40.16030262,40.17641904,39.78996696,39.83865017,39.8344215,39.87257452,39.93781393,39.98445203,39.96973753,39.90703091,39.97329048,39.97074236,,
United Arab Emirates,Agricultural land (% of land area),2.928752464,2.928752464,2.928752464,2.928752464,2.942833005,2.956913545,2.956913545,2.956913545,2.956913545,2.985074627,2.985074627,2.985074627,2.999155168,3.013235708,3.027316249,3.04139679,3.05547733,3.069557871,3.083638412,3.139960574,3.196282737,3.196282737,3.266685441,3.266685441,3.308927063,3.351168685,3.351168685,3.365249226,3.365249226,4.012954097,4.364967615,4.773303295,4.998591946,5.237961138,5.392847085,5.449169248,5.561813574,5.604055196,7.265558997,7.702055759,7.913263869,7.969586032,7.800619544,7.800619544,7.842861166,7.583779217,7.499295973,7.597859758,5.461841735,5.523796114,5.470290059,5.304139679,5.342157139,5.385806815,5.390030977,5.404111518,5.404111518,5.375246409,5.497043086,5.488594762,5.513397634,,
Argentina,Agricultural land (% of land area),50.3633952,49.85365533,49.28398905,48.70738008,48.15306081,47.84904392,47.39411479,47.22310528,46.54600996,46.54637537,46.54637537,46.54637537,46.54637537,46.54637537,46.54637537,46.54637537,46.54637537,46.54637537,46.54637537,46.54637537,46.54637537,46.54674077,46.54710618,46.54674077,46.54674077,46.54674077,46.54674077,46.54527915,46.57816559,46.61287906,46.64759253,46.682306,46.71701947,46.75282915,46.78827343,46.8237177,46.85770036,46.89241383,46.92237703,46.95818671,46.99326559,47.0312677,47.17498146,47.31869521,47.47373652,47.55339479,47.49109325,46.42356277,45.43020949,46.13891234,45.79196036,45.58130442,44.92193124,44.28302073,44.11877122,43.4794953,42.98638136,42.37153631,42.59077926,43.02926517,43.10234616,,
Armenia,Agricultural land (% of land area),35.676307305828196,35.71412071829515,35.86202647126872,35.95832467940969,36.03382189138767,36.1271796881718,36.16045761944053,36.23395498573568,36.28505116707489,36.22354576543172,36.2131956874185,36.3081521670793,36.40901968733921,36.409959073898676,36.351380988110144,36.405042428678414,36.511671995484576,36.6092387234141,36.66138601976212,36.731250519004405,36.79733564327313,36.845718422079294,36.83447451904405,36.977187023731275,37.045419916859025,37.08319639845374,37.17568044784141,37.263316862784144,37.23240737522467,37.165182638259914,36.83101538157575,41.09589041,41.48226203,42.14963119,43.69511767,45.87284861,46.78609062,46.64559185,46.46996839,46.46996839,46.64559185,48.85844749,50.7200562,52.86266245,56.37513172,61.69301019,61.53494907,61.42606252,61.33825079,60.94134176,59.6452406,59.11485774,59.11485774,59.03407095,58.89357218,58.89708465,58.87249737,58.914647,58.90410959,58.8689849,58.82753776,,
American Samoa,Agricultural land (% of land area),9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.82,9.99,10.16,10.33,10.5,10.67,10.84,11.01,11.18,11.35,11.5,11.65,11.8,11.95,12.1,12.25,12.4,12.55,12.7,12.85,13.0,13.15,13.3,13.45,13.6,13.75,13.9,14.05,14.2,14.35,14.5,,
Antigua and Barbuda,Agricultural land (% of land area),22.72727273,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,22.72727273,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,,
Australia,Agricultural land (% of land area),61.76333188,62.03779226,62.39922656,62.72910581,63.29604298,63.39618678,63.72838393,66.85101611,66.50196151,64.22978776,65.02429828,65.06059383,64.81092902,65.13114562,65.02570845,65.18126082,63.97953738,64.5770147,64.20447002,64.51687646,64.50737409,63.8834724,62.97449982,63.33493876,63.36526821,60.98967757,61.31236739,61.44670216,60.80262421,60.45546256,60.24003228,60.65943793,59.89052758,61.06803952,60.31891491,60.55868685,60.16856931,60.3830884,59.05692306,59.28810382,59.31817294,58.1856996,57.20942947,51.40465746,53.39937258,53.27857543,51.85367663,50.67336605,50.01848405,48.99209872,51.56281322,50.38543145,48.39371022,48.73839866,45.31442407,44.53992579,48.34061794,46.65809501,47.12377243,46.25247984,47.2592375,,
Austria,Agricultural land (% of land area),43.08531265,42.78962676,42.29035385,42.1291808,41.98012603,41.27484246,40.8834222,40.70891905,40.6095492,40.4241396,40.24357731,40.07634513,39.04750364,38.86694135,38.65123606,38.57852642,38.5070286,38.54580708,38.08652448,38.06349976,38.23800291,38.08410082,36.66868638,36.75714978,36.80925836,36.67959283,36.69413476,36.94013572,36.96800776,36.64444983,36.8019874,36.51236064,36.3427048,36.28332525,36.12578769,36.03126515,35.92583616,35.86888027,35.81192438,35.63015027,35.33809985,35.16965584,34.96400873,34.74793989,34.61948619,34.45588948,34.29592826,34.04507998,33.87057683,33.6791081,33.41371789,33.14590402,32.91808047,32.89142026,32.94292293,32.35785264,32.16941348,32.14772176,32.12809016,31.53981338,31.47672564,,
Azerbaijan,Agricultural land (% of land area),35.676307305828196,35.71412071829515,35.86202647126872,35.95832467940969,36.03382189138767,36.1271796881718,36.16045761944053,36.23395498573568,36.28505116707489,36.22354576543172,36.2131956874185,36.3081521670793,36.40901968733921,36.409959073898676,36.351380988110144,36.405042428678414,36.511671995484576,36.6092387234141,36.66138601976212,36.731250519004405,36.79733564327313,36.845718422079294,36.83447451904405,36.977187023731275,37.045419916859025,37.08319639845374,37.17568044784141,37.263316862784144,37.23240737522467,37.165182638259914,36.83101538157575,53.42898687,53.55396133,53.90725453,53.94450653,54.3903289,55.14137736,56.34838492,56.73659392,57.38635676,57.45000242,57.43179452,57.52552872,57.51524095,57.56835229,57.55291213,57.56453545,57.56834933,57.57909516,57.67034456,57.69193544,57.68709623,57.70454518,57.70054317,57.7017529,57.73557518,57.79560136,57.8253926,57.82781233,57.83824989,57.8415003,,
