country_name,cities_count,avg_aqi,min_aqi,max_aqi,std_aqi,avg_co_aqi,avg_ozone_aqi,avg_no2_aqi,avg_pm25_aqi
Afghanistan,49,95.96,49,198,32.86,0.59,40.18,0.02,95.92
Albania,32,68.25,44,115,17.45,1.0,42.06,0.72,68.09
Algeria,12,88.17,36,164,45.63,1.92,47.17,9.33,80.25
Andorra,3,29.33,27,32,2.52,0.67,29.33,0.0,22.0
Angola,27,83.93,20,285,64.58,3.15,22.7,1.89,81.93
Argentina,69,28.45,11,141,21.53,0.36,15.67,1.52,25.13
Armenia,22,53.64,30,100,21.9,0.86,34.36,0.09,52.59
Aruba,1,163.0,163,163,,0.0,23.0,0.0,163.0
Australia,85,33.6,15,264,30.15,0.21,22.06,3.12,27.36
Austria,68,53.72,26,80,14.06,0.94,35.97,1.1,52.35
Azerbaijan,38,58.76,31,95,17.05,1.0,37.29,0.0,57.5
Bahrain,1,188.0,188,188,,2.0,127.0,3.0,188.0
Bangladesh,80,113.46,39,222,49.93,2.44,46.2,3.04,112.79
Barbados,1,73.0,73,73,,0.0,24.0,0.0,73.0
Belarus,22,38.45,31,71,10.53,0.91,33.45,0.32,28.59
Belgium,284,44.58,29,73,9.42,0.93,30.13,3.24,44.51
Belize,3,46.33,22,59,21.08,1.0,24.0,0.0,45.33
Benin,27,67.11,30,101,20.03,1.56,19.93,0.81,67.11
Bhutan,2,26.0,21,31,7.07,1.0,21.0,0.0,26.0
Bolivia (Plurinational State of),33,23.79,6,67,13.59,0.48,8.33,0.21,23.24
Bosnia and Herzegovina,36,60.56,27,102,15.28,1.0,36.56,0.17,60.08
Botswana,19,43.58,15,79,18.61,0.84,20.37,0.42,42.32
Brazil,1562,44.57,11,268,32.33,1.0,12.48,2.27,44.02
Bulgaria,65,54.26,31,92,15.4,1.03,40.77,0.71,51.12
Burkina Faso,34,51.59,26,81,14.43,1.15,19.06,0.44,51.59
Burundi,13,62.69,39,97,18.91,2.62,21.38,0.69,62.69
Cabo Verde,2,38.0,36,40,2.83,0.0,38.0,0.0,27.0
Cambodia,12,45.25,21,73,14.72,0.58,21.5,0.42,45.25
Cameroon,64,69.02,31,124,20.88,2.33,17.05,0.42,69.02
Canada,141,43.26,15,83,14.5,1.06,27.28,2.58,38.91
Central African Republic,30,64.17,26,86,16.05,2.0,12.23,0.0,64.17
Chad,33,75.33,27,156,32.37,1.58,19.21,0.15,75.33
Chile,81,87.85,14,358,70.52,3.8,10.05,8.59,87.06
China,795,126.95,20,386,51.23,3.42,88.32,7.09,111.7
Colombia,250,66.07,10,160,28.94,1.7,9.78,3.4,66.02
Comoros,3,33.0,26,39,6.56,0.0,27.33,0.0,32.0
Congo,12,87.58,60,155,27.54,2.58,23.83,0.33,87.58
Costa Rica,38,58.82,28,94,14.07,1.5,12.45,6.92,58.82
Croatia,31,57.94,31,76,12.68,1.03,42.68,0.61,52.9
Cuba,98,63.07,30,122,20.28,0.93,24.82,1.87,61.87
Cyprus,6,50.83,45,58,5.91,1.0,50.67,0.17,35.33
Czechia,127,60.91,29,96,16.78,0.94,35.65,1.79,60.62
Côte d'Ivoire,67,53.28,20,138,22.59,1.4,16.27,0.36,53.28
Democratic Republic of the Congo,70,114.81,30,481,88.79,5.29,27.14,1.93,114.27
Denmark,60,38.02,23,54,5.06,0.5,35.83,0.55,27.4
Dominican Republic,38,108.08,46,160,34.26,1.82,17.63,6.97,108.08
Ecuador,66,45.33,7,131,20.94,1.15,10.67,2.64,45.26
Egypt,40,101.65,56,166,33.82,1.42,68.08,2.58,95.75
El Salvador,33,97.36,62,151,25.06,2.58,13.64,9.39,97.36
Equatorial Guinea,4,45.25,32,53,9.71,1.25,24.0,0.0,45.25
Eritrea,5,99.2,75,163,36.56,1.0,31.4,0.0,99.2
Estonia,12,38.83,23,96,18.89,1.17,31.75,1.25,28.08
Ethiopia,82,78.73,22,178,33.43,0.98,21.61,0.05,78.73
Finland,81,38.37,23,185,26.21,1.07,31.69,1.86,21.63
France,802,53.34,19,151,21.92,1.01,30.5,2.64,51.46
Gabon,10,78.1,40,131,28.27,1.5,24.3,0.1,78.1
Gambia,9,147.0,111,162,16.72,1.0,24.0,0.67,147.0
Georgia,20,40.6,31,69,10.96,0.95,33.8,0.0,35.85
Germany,1345,48.25,23,110,13.77,0.82,35.52,1.99,46.23
Ghana,58,62.79,22,150,25.3,1.29,18.0,0.5,62.79
Greece,104,68.29,39,129,22.75,1.12,43.2,2.21,65.4
Guatemala,121,80.95,27,129,23.32,2.33,11.16,6.84,80.95
Guinea,21,62.48,20,153,35.69,1.19,17.95,0.1,62.48
Guinea-Bissau,4,138.75,109,195,38.56,1.25,26.5,0.5,138.75
Guyana,4,45.5,27,61,17.56,0.5,16.75,0.0,45.5
Haiti,18,101.72,74,144,20.87,1.72,22.94,3.56,101.72
Honduras,28,63.43,16,92,18.93,1.25,10.79,2.25,63.43
Hungary,142,63.61,37,95,9.73,1.0,40.9,1.21,62.54
Iceland,3,23.0,23,23,0.0,1.0,23.0,0.0,18.33
India,2488,152.96,21,500,94.32,1.74,55.06,1.97,149.46
Indonesia,379,93.04,10,297,54.77,2.42,46.57,3.74,90.83
Iran (Islamic Republic of),179,108.3,36,235,42.34,1.15,61.75,0.66,105.23
Iraq,14,114.07,55,158,32.09,1.21,69.71,1.14,108.07
Ireland,31,40.23,23,64,11.83,0.81,33.55,0.81,34.97
Israel,46,87.4,44,143,23.11,1.57,47.36,6.15,87.4
Italy,979,62.0,27,152,18.38,1.13,43.82,2.35,56.31
