region_id,country_name,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,population_population_number_of_people,special_waste_agricultural_waste_tons_year,special_waste_construction_and_demolition_waste_tons_year,special_waste_e_waste_tons_year,special_waste_hazardous_waste_tons_year,special_waste_industrial_waste_tons_year,special_waste_medical_waste_tons_year,Temprature Change
SAS,Afghanistan,2057.062256,NA,NA,NA,NA,NA,NA,NA,NA,NA,34656032,6802511,NA,20000,NA,NA,9855,0.435823529
ECS,Albania,13724.05859,51.4,4.5,4.8,15.21,9.9,9.6,NA,4.6,NA,2854191,NA,203009,20000,5714.82,270269,114.3,0.777882353
MEA,Algeria,11826.16504,54.4,1.2,2.8,0.8,9.8,16.9,12.6,1.5,NA,40606052,NA,11000000,252000,330000,2547000,30000,0.493735294
EAS,American Samoa,11113.44238,19.7,3.4,7.9,25.6,26.4,12.8,4.2,NA,NA,55599,NA,NA,NA,NA,NA,NA,0.741877828
ECS,Andorra,43711.80078,31.2,8.2,2.6,11.6,35.1,11.3,NA,NA,NA,82431,NA,NA,NA,1788,NA,NA,0.4945
SSF,Angola,8036.69043,51.8,6.7,4.4,11.5,11.9,13.5,NA,NA,NA,25096150,NA,NA,92000,NA,NA,5495.95,0.855117647
LCN,Antigua and Barbuda,17965.50195,46,7,7,12,15,13,NA,NA,NA,96777,NA,NA,1100,NA,NA,NA,0.403352941
LCN,Argentina,23550.09961,38.74,3.16,1.84,15.36,13.96,14.61,1.26,1.09,9.95,42981516,NA,NA,291700,310044,NA,NA,0.296676471
ECS,Armenia,11019.83887,57,3.2,3.4,17.4,6.7,11.4,0.3,0.6,NA,2906220,1570,7820,14000,62270,47310540,NA,1.884647059
LCN,Aruba,35563.3125,NA,NA,NA,NA,NA,NA,NA,NA,NA,103187,NA,NA,NA,NA,NA,NA,0.72259375
EAS,Australia,47784.17969,48.44,3.81,19.38,3.46,17.3,7.61,NA,NA,NA,23789338,NA,20000000,574000,7000000,31000000,NA,0.649205882
ECS,Austria,56029.61328,31.4,7,4.4,18.5,19.7,11.1,NA,7.9,NA,8877067,1887723,42423893,166174,1272288,NA,696748,0.767176471
ECS,Azerbaijan,14853.91016,45.19,5.28,3.49,13.73,10.93,7.87,3.09,NA,10.42,9649341,NA,NA,63000,296979.4,NA,NA,2.051176471
LCN,"Bahamas, The",35400.08203,46,7,7,12,15,13,NA,NA,NA,386838,NA,NA,4900,NA,NA,NA,#N/A
MEA,Bahrain,47937.77734,59.1,3.4,2.1,15.2,12.8,7.4,NA,NA,NA,1425171,NA,570099.67,20000,31000,140000,911000,1.328970588
SAS,Bangladesh,3195.737061,80.58,0.44,0.5,8.59,3.04,4.67,1.08,NA,1.1,155727056,65000000,NA,142000,114358,26884,12271,0.589382353
LCN,Barbados,15444.74609,18.3,3.7,4.9,5.7,19.7,17.1,12.1,NA,18.6,280601,NA,184957,3800,9410.337,NA,NA,0.538542279
ECS,Belarus,18307.51953,30,8,2,35,5,12,6,2,NA,9489616,NA,NA,72000,1336926,NA,NA,2.886058824
